Id1,Frequency1,Kanji1,Type1,Meaning1,Meaning2,Meaning3,Bushu1,Bushu2,Bushu3,Bushu4,Radical1,Radical2,Radical3,Radical4,Onyomi_Reading1,Onyomi_Reading2,Kunyomi_Reading1,Kunyomi_Reading2,Mnemonic,Notes
21,163,"百",Kanji,hundred,,,"一","白",,,one,white,,,HYAKU,,momo,,"Whether a hundred.m or just one.r white.r snowflake, we hike.o at any moment.k.",
22,8,"十",Kanji,ten,,,"十",,,,cross,,,,JUU,,too,,"Ten.m crosses.r for Christians. Jews.o have the Torah.k's ten commandemnts.",
23,,|,Radical,bar,,,|,,,,"vertical stick",,,,,,,,"A bars.m is a vertical.r sticks.r.","This radical never appears by itself, only as a part of other characters."
24,307,"土",Kanji,ground,,,"二",|,,,two,bar,,,DO,TO,tsuchi,,"On the ground.m lay two.r bars.r. A guy yelled: #Do.o not touch.k them!",
25,526,"士",Kanji,warlord,,,"十","一",,,ten,one,,,SHI,,one,,"The warlord.m killed ten.r men with one.r blow. She.o in particular, was the best female warlord.k ever.",
26,1349,"干",Kanji,dry,,,"一","十",,,one,ten,,,KAN,,hosu,,"Dry.m throat after counting from one.r to ten.r. Can.o you hose.k me with fluids?",
27,195,"千",Kanji,thousand,,,"丿","十",,,slash,ten,,,SEN,,chi,,"A thousand.m slashes.r times ten.r! Sen.osible chi.kldren know math or they get a thousand slashes!",
28,2499,"壬",Kanji,knight,,,"千","士",,,thousand,warlord,,,NIN,,,,"The knight.m is a legend among a thousand.r warlords.r and ninjas.o.","Mostly used as a radical. It is ninth sign of Chinese zodiac"
29,,"𠂉",Radical,gun,,,"丿","一",,,slash,one,,,,,,,"The gun.m radical looks like a flint-lock pistol made of a slash.r and a one.r.","This radical never appears by itself, only as a part of other characters."
30,1202,"牛",Kanji,cow,,,"𠂉","十",,,gun,ten,,,GYUU,,ushi,,"A cow.m got shot by a gun.r ten.r times. We make glue.o with it after ush.kering it into the afterlife.",
31,154,"午",Kanji,noon,,,"𠂉","干",,,gun,dry,,,GO,,uma,,"At noon.m, I fired the gun.r with dry.r gunpowder. Go.o fetch more cartridges at noon.",
32,29,"生",Kanji,birth,,,"𠂉","土",,,gun,ground,,,SEI,,u.mareru,i.kiru,"Born.m a gun.r slinger, he put many in the ground.r. They say.o cut the umbilical.k cord at birth or it.k kills.k u.k.",
33,509,"古",Kanji,old,,,"十","口",,,ten,mouth,,,KO,,furu.i,,"The old.m guy, ten.r times, mouthed.r off. He grabbed his old coat.o and left furiou.ksly.",
34,711,"吉",Kanji,luck,,,"士","口",,,warlord,mouth,,,KITSU,,yoshi,,"Luck.m came to the warlord.r via his polite mouth.r. His kits.o arrived intact whereas yo.k shit.k got thrashed.",
35,1830,"舌",Kanji,tongue,,,"丿","古",,,slash,old,,,ZETSU,,shita,,"My tounge.m got slashed.r by the hard old.r bread. I need zest.o on my tongue, not a shitty.k taste.",
36,375,"万",Kanji,"ten thousand",,,"一","力",,,one,power,,,MAN,BAN,,,"Ten.m thousand.m is one.r powerful.r number. That man.o made a ban.o against counting so high.",
37,46,"方",Kanji,direction,,,"丶 ","万",,,bloody,"ten thousand",,,HOU,,kata,,"In that direction.m, there are a bloody.r ten.r thousand.r hoes.o getting cat.k called.",
38,542,"丸",Kanji,round,,,"九","丶 ",,,nine,bloody,,,GAN,,maru,marui,"Round.m like spheres, nine.r bloody.r drops rolled off my wound. Gangrene.o marred.k my body too.",
39,76,"目",Kanji,eye,,,"口","二",,,mouth,two,,,MOKU,,me,,"Eyes.m, we both have two.r, mouths.r; just one. Mock.o me.k with your eyes.",
40,19,"自",Kanji,oneself,,,"丶 ","目",,,bloody,eye,,,SHI,JI,mizukara,,"Spare oneself.m a bloody.r eye.r. She.o in particular, has one spare for her jeep.o and covered it with mascara.k.",
41,,"且",Kanji,furthermore,,,"目","一",,,eye,one,,,SO,,ka.tsu,,"Furthermore.m, you have one.r eye.r only. So.o, furthermore, you can't watch cats.k online.","Mostly used as a radical."
42,22,"見",Kanji,see,,,"目","儿",,,eye,legs,,,KEN,,miru,,"He saw.m that he had eyes.r and legs.r. Ken.o loves looking in his mirror.k.",
43,90,"田",Kanji,field,,,"囗","十",,,box,ten,,,DEN,,ta,,"Rice paddy fields.m are boxy.r grids in rows of ten.r. The den.o in the fields is for tap.k dancing.",
44,1073,"甲",Kanji,armor,,,"田",|,,,field,bar,,,KOU,,,,"The armor.m was impenetrable. In the fields.r of battle it withstood strikes from metal bars.r. It coats.o our soldiers.",
45,325,"由",Kanji,reason,,,|,"田",,,bar,field,,,YUU,YUI,yoshi,,"There's a reason.m a plutonium bar.r is the fields.r! You.o in particular, had yo.k shi.kt messed up for no reason.","This is a radical. It never appears by itself, only as a part of other characters."
46,492,"申",Kanji,"to be called",,,"田",|,,,field,bar,,,SHIN,,mou.su,,"To.m be.m called.m by name to fight in the fields.r with a bar.r is an honor. Break their shins.o so don't turn mushy.k.","It is also the monkey sign of Chinese zodiac."
47,5,"人",Kanji,person,,,"人",,,,"upside down Y",,,,JIN,NIN,hito,ri,"The person.m looks like upside down Y. He's a ninja.o wearing jeans.o who hits.k real.k hard.",
48,,"丷",Radical,horny,,,"丷",,,,"pair of horns",,,,,,,,"Simply horny.m because it looks like a pair of horns.","This radical never appears by itself, only as a part of other characters."
49,574,"火",Kanji,fire,,,"丷","人",,,horny,person,,,KA,,hi,,"The fire.m burn the horny.r person.r. He.o in particular, is Canadian.k.",
50,1242,"炎",Kanji,flame,,,"火","火",,,fire,fire,,,IN,,honoo,,"The flame.m of the two fires.r burned in.oside of me. On a high.k note.k, I'm motivated.",
51,7,"大",Kanji,big,,,"一","人",,,one,person,,,TAI,DAI,oo,oo.kii,"The big.m one.r is a person.r too. He wears a tie.o and loves diamonds.o, okay.k!",
52,1326,"犬",Kanji,dog,,,"丶 ","大",,,bloody,big,,,KEN,,inu,,"That dog.m is bloody.r big.r. I.k knew.k it was Ken.o's dog.",
53,552,"太",Kanji,fat,,,"大","丶 ",,,big,bloody,,,TAI,,futo.ru,,"Fat.m makes you big.r and bloody.r strong. But then finding large ties.o is a futile.k pursuit.",
54,335,"夫",Kanji,husband,,,"二","人",,,two,person,,,FU,,otto,,"My husband.m acts like two.r different people.r! F..o U..o husband! U look like an otter.k.",
55,512,"天",Kanji,heaven,,,"一","大",,,one,big,,,TEN,,,,"Heaven.m is one.r big.r place. Ten.o times as big as Earth!",
56,317,"木",Kanji,tree,,,"大",|,,,big,bar,,,MOKU,BOKU,ki,,"A tree.m trunk is a big.r bar.r. They mock.o us because we keep.k hugging trees.",
57,10,"本",Kanji,stem,book,,"木","一",,,tree,one,,,HON,,moto,,"The stem.m of a tree.r is one.r source of book.m pulp. Our hon.oor stems from our motto.k in this book.","This is used to write Japan: 日本."
58,456,"末",Kanji,tip,,,"一","木",,,one,tree,,,MATSU,,sue,,"The tip.m of one.r tree.r is turned into mats.o to be sent accross the Sue.kz cannal.",
59,650,"未",Kanji,"not yet",,,"二","木",,,two,tree,,,MI,,ma.da,,"Not.m yet.m ready to fell the two.r trees.r. They're dear to me.o in particular, so I'll get mad.k.",
60,,"乂",Radical,scissors,,,"乂",,,,"katakana ME",,,,,,,,"The scissors.m radical looks like katakana.r メ.r.","This radical never appears by itself, but it is the same shape as katakana ME."
61,1375,"丈",Kanji,stature,,,"一","乂",,,one,scissors,,,JOU,,take,,"His stature.m was cut down with one.r scissor.r. Joe.o lost his stature.",
62,511,"史",Kanji,history,,,"口","乂",,,mouth,scissors,,,SHI,,,,"Oral history.m is only by mouth.r. So scissor.r up the scrolls. She.o in particular, knew her history.",
63,,"吏",Kanji,officer,,,"丈","史",,,stature,history,,,RI,,,,"The officer.m with stature.r historically.r reeps.o the most respect.","Mostly used as a radical."
64,861,"更",Kanji,additionally,,,"丈","日",,,stature,sun,,,KOU,,fukeru,sara,"Additionally.m, the guy with stature.r charged the field.r! Additionally, he cou.orageously defeated fuckers.k to save Sarah.k.",
65,646,"父",Kanji,father,,,"八","乂",,,eight,scissors,,,FU,,chichi,tousan,"Father.m owns eight.r scissors.r. Dad said F..o U..o to the chicken.k as he tossed.k. it.",
66,190,"文",Kanji,sentence,,,"亠","乂",,,lid,scissors,,,MON,BUN,,,"The sentence.m, cut lids.r with scissors.r makes no sense. #Mon.oks bake buns is a nonsense sentence too.",
67,,"亅",Radical,barb,,,"亅",,,,"hooked stick",,,,,,,,"The barb.m looks like a stick with a hooked end.","This radical never appears by itself, only as a part of other characters."
68,,"冂",Radical,staple,,,|,"亅",,,bar,barb,,,,,,,"A staple is a metal bar.r bent into a barb.r.","This radical never appears by itself, only as a part of other characters."
69,23,"月",Kanji,moon,month,organ,"冂","二",,,staple,two,,,GATSU,GETSU,tsuki,,"The monthly.m moon's.m two.r craters are a staple.r of its appearance. The ghastly.o moon gets.o you.o, like ski.k slopes.","月 moon/month also means Monday."
70,107,"用",Kanji,utilize,,,"月",|,,,moon,bar,,,YOU,,mochi.iru,,"You utilized.m a bar.r to swing at the moon.r. You,.o and.o only.o you.o, have that much.k ire.k.",
71,,"⺌",Radical,sparkles,,,"⺌",,,,"three rays",,,,,,,,"Sparkles.ｍ looks like three.r rays.r of light of of a twinkling star.","This radical never appears by itself, only as a part of other characters."
72,67,"明",Kanji,bright,,,"日","月",,,sun,moon,,,MEI,,akarui,ashita,"The bright.m sun.r and moon.r in May.o shine upon the acres.k, like bright ashes.k in the sky.","Pronounced あした, when paired with 日, 明日 , tomorrow."
73,259,"西",Kanji,west,,,"一","四",,,one,four,,,SEI,SAI,nishi,,"West.m is one.r of four.r directions on a compass. Sai.oling is a niche.k sport.","West is somtimes written as 覀. Notice the straight 'legs',  儿."
74,2468,"酉",Kanji,booze,,,"西","一",,,west,one,,,YUU,,tori,,"Booze.m in the west.r is one.r of many pastimes.","Mostly used as a radical or in names. It is the tenth sign of Chinese zodiac."
75,114,"小",Kanji,small,,,"八","亅",,,eight,barb,,,SHOU,,chii.sai,ko,"He used small.m barbs.r, eight.r of them, to scratch it to show.o off his small chisel.k.",
76,287,"少",Kanji,few,,,"小","丿",,,small,slash,,,SHOU,,suko.shi,suku.nai,"A few.m small.r slashes.r won't show.o much. Cover the few with a sock.k and suck.k it up.",
77,,"フ",Radical,fuel,,,"フ",,,,"katakana FU",,,,,,,,"Fuel.m could be spelled with katakana.r フ.r.","This radical never appears by itself, but it is the same shape as katakana FU so use the mnemonic fuel."
78,223,"水",Kanji,water,,,"小","フ",,,small,fuel,,,SUI,,mizu,,"He mixed water.m with a small.r amount of fuel.r. The sewer.o water made him miserable.k.",
79,1450,"氷",Kanji,ice,,,"水","丶 ",,,water,bloody,,,HYOU,,koori,,"Ice.m melts into water.r in the bloody.r heat. Hy.odr#o.oelectricity in this corri.kdor melts ice.",
80,846,"永",Kanji,eternity,,,"丶 ","水",,,bloody,water,,,EI,,,,"For eternity.m, the bloody.r water.r dripped. Ei.oghty-#ei.oght drops feels like an eternity.",
81,220,"求",Kanji,request,,,"一","丶 ","水",,one,bloody,water,,KYUU,,moto.meru,,"I requested.m one.r bloody.r drop of water.r. A cute.o waitress brought my requested mutton.k meal.k.",
82,,"ﾉl",Radical,"broken legs",,,"丿",|,,,slash,bar,,,,,,,"Broken.m legs. because he got slashed.r and hit with a bar.r. This looks like the legs radical without the hook on the right.","This radical never appears by itself, but it is similar to 'legs', 儿, so use the mnemonic 'broken legs.'"
83,181,"川",Kanji,river,,,"ﾉl",|,,,"broken legs",bar,,,SEN,,kawa,,"In the river.m, they broke.r legs.r with a bar.r.: sen.otenced to a beating for cowardice.k.",
84,386,"州",Kanji,province,,,"小","川",,,small,river,,,SHUU,,su,,"This province.m has small.r rivers.r. Remove your shoes.o and swim.k in the province.",
85,,"マ",Radical,mammal,,,"マ",,,,"katakana MA",,,,,,,,"Mammal.m head.m sounds like katakana.r マ.r radical.","This radical never appears by itself, but it is the same shape as katakana MA so use the mnemonic mammal."
86,792,"了",Kanji,finish,,,"マ","亅",,,mammal,barb,,,RYOU,,,,"They finished.m the fence with mammals.r spiked on the barbed.r wire to finish the riot.oers.",
87,72,"子",Kanji,child,,,"一","了",,,one,finish,,,SHI,,ko,,"The child.m, only one.r task she finished.r. She.o in particular, co.ooperated with other children.",
88,240,"男",Kanji,man,,,"田","力",,,field,power,,,DAN,,otoko,,"Men.m toil in the fields.r with man-#power.r. Dan.o, the man, is oh.k too.k cool.k for work.",
89,,"ナ",Radical,awning,,,"ナ","一","丿",,"katakana NA",one,slash,,,,,,"It looks like an awning.m or a katakana.r ナ.r.","The 'awning' radical, ナ, can also be analyzed as 'one', and 'slash', 丿."
90,151,"女",Kanji,woman,,,"ナ","乂",,,awning,scissors,,,JO,,onna,,"The woman.m under an awning.r charged wth scissors.r. The joke.o is on.k Anna.k.",
91,11,"中",Kanji,middle,,,"口",|,,,mouth,bar,,,CHUU,,naka,,"He pierced the middle.m of his mouth.r with a bar.r. Choosing.o piercings is his nack.k.",
92,,"冫",Radical,icicle,,,"丶 ",,,,bloody,stroke,,,,,,,"The icicle.m is a cut him, causing a bloody.r stroke.r.","The 'icicle,' 冫radical is a variant of 'ice,'  氷. Icicle has one less stroke than 'water splash.'"
93,,"⺡",Radical,"water splash",,,"丶 ","冫",,,bloody,icicle,,,,,,,"A water.m splash.m turned into a bloody.r icicle.r.","The 'water splash,' 冫radical is a variant of 'water,' 水. Water splash has one more stroke than 'icicle.'"
94,929,"沖",Kanji,"open waters",,,"⺡","中",,,"water splash",middle,,,CHUU,,oki,,"The open.m waters.m splash.r in the middle.r. Choose.o your boat for the open waters to Okinawa.k wisely.",
95,1006,"酒",Kanji,alcohol,,,"⺡","酉",,,"water splash",booze,,,SHU,,sake,saka,"Alcohol.m and water.r make booze.r. We should.o drink sake.k alcohol.",
96,,"ト",Radical,divination,,,"ト",,,,"katakana TO",,,,,,,,"The divination.m radical looks like katakana.r ト.r.","This is radical never appears by itself, but it is the same shape as katakana TO."
97,35,"上",Kanji,up,,,"ト","一",,,divination,one,,,JOU,,ue,a.geru,"Up.m has divination.r above a one.r. Kanji is a journey.o upwards, we.kird but agrea.kable.","Also has kunyomi of a.garu"
98,310,"止",Kanji,stop,,,"上",|,,,up,bar,,,SHI,,toma.ru,to.meru,"Stop.m dancing up.r on the bar.r! She.o in particular, will stop tomorrow.k.",
99,143,"正",Kanji,correct,,,"一","止",,,one,stop,,,SEI,,tada.shii,,"It's correct.m for one.r to stop.r early. They say.o that being a tad.k shy.k is the correct way.",
100,97,"下",Kanji,down,,,"一","ト",,,one,divination,,,KA,GE,shita,sa.geru,"On the down.m side, one.r dollar, the divination.r cost. Ca.onadians get.o shitty.k fortune readings.","Also has kunyomi of sa.garu"
101,101,"不",Kanji,negative,,,"丿","下",,,slash,down,,,FU,BU,,,"A negative.m man is slashed.r down.r! F..o U..o and ur negativity, bud.o!",
102,299,"工",Kanji,industry,,,T,"一",,,"letter T",one,,,KOU,KU,,,"Industry.m crafts with a T.r-square and one.r capitalist. Industry is cou.orageous and cool.o!",
103,630,"左",Kanji,left,,,"ナ","工",,,awning,industry,,,SA,,hidari,,"On the left.m is an awning.r crafted by industry.r. Sadly.o, the Left hideously.k hates industry.","The first stroke is the horizontal one which is written from LEFT to right."
104,602,"右",Kanji,right,,,"ナ","口",,,awning,mouth,,,YUU,,migi,,"The right.m side has an awning.r covering the building's mouth.r. You.o in particular, must mitig.kate the right side.","The first stroke is the vertical slash which is written from RIGHT to left."
105,342,"石",Kanji,stone,,,"一","丿","口",,one,slash,mouth,,SEKI,,ishi,,"A stone.m hits like one.r slash.r to the mouth.r. In this section,.o the stones are jagged- ish.k.",
106,2288,"只",Kanji,ordinary,,,"口","八",,,mouth,eight,,,SHI,,tada,,"Ordinary.m mouths.r have eight.r front teeth. She.o in particular, is a tad.k ordinary.",
107,1219,"兄",Kanji,"older brother",,,"口","儿",,,mouth,legs,,,KYOU,KEI,oo.nii.san,ani,"My older.m brother.m has a mouth.r and legs.r. He eats cake.o in Kyoto.o and kicks ani.kmals.",
108,1874,"又",Kanji,again,,,"ヌ",,,,"katakana NU",,,,YUU,,mata,,"Again.m, he made a new.r mat.k.","The onyomi YUU is rarely used, hence not part of the mmenonic."
109,1029,"双",Kanji,pair,,,"ヌ","又",,,"katakana NU",again,,,SOU,,futa,,"A pair.m of katakana.r ヌ.r fused together again.r. Sew.oed together, it's futile.k to separate the pair.",
110,622,"友",Kanji,friend,,,"ナ","又",,,awning,again,,,YUU,,tomo,,"My friends.m, I sheltered them under an awning.r again.r. You.o in partcular, bring a friend tomorrow.k.",
111,282,"有",Kanji,have,,,"ナ","月",,,awning,moon,,,YUU,,a.ru,,"If you have.m an awning.r with a moon.r roof, you.o, in partcular, are.k rich.",
112,924,"夕",Kanji,evening,,,"タ",,,,"katakana TA",,,,,,yuu,,"This evening.m, tap way with katakana.r タ.r. You.o in particular, should tap ass this evening.",
113,139,"多",Kanji,many,,,"夕","夕",,,evening,evening,,,TA,,oo.i,,"Many.m times, two.r evenings.r ago I got laid. I double tapped.o many oodles.k of ass.",
114,,"夂",Radical,late,,,"夕","又",,,evening,again,,,,,,," 'Twas late.m as the evening.r superimposed itself upon us again.r.","This radical never appears by itself, only as a part of other characters."
115,1090,"冬",Kanji,winter,,,"夂","冫",,,late,icicle,,,TOU,,fuyu,,"Winter.m, comes late.r in the year with icicles.r. It's totally.o winter for.k you.k.",
116,177,"名",Kanji,name,,,"夕","口",,,evening,mouth,,,MEI,MYOU,na,,"Say my name.m in the evening.r with your mouth.r. I may.o allow your myopic.o self say my na.kme.",
117,243,"各",Kanji,each,,,"夂","口",,,late,mouth,,,KAKU,,onono,,"Each.m time you arraive late.r, in your mouth.r put my cock.o. Oh.k no!.k Oh.k no!.k",
118,,"⺅",Radical,"standing man",,,"丿",|,,,slash,bar,,,,,,,"Standing.m man.m is a mentally variant person, 人, that slashes.r other people with a bar.r.","The 'standing man', ⺅, radical is a variant of 'person,'  人."
119,439,"仕",Kanji,serve,,,"⺅","士",,,"standing man",warlord,,,SHI,,,,"To serve.m her, the standing.r man.r who is a warlord.r, is here. She.r, in partcular, needs him.",
120,217,"任",Kanji,entrust,,,"⺅","壬",,,"standing man",knight,,,NIN,,maka.su,maka.seru,"We entrusted.m the standing.r man.r who is a knight.r. The ninja.o masacred.k our entrusted man.",
121,642,"休",Kanji,rest,,,"⺅","木",,,"standing man",tree,,,KYUU,,yasu.mu,yasu.mi,"Resting.m, the standing.r man.r leans on a tree.r. He's cute.o but says yes.k many.k times just to go on vacation.",
122,88,"体",Kanji,body,,,"⺅","本",,,"standing man",stem,,,TAI,,karada,,"From the body.m of the standing.r man.r stems.r his pain. His tight.o body needs a health care.k aide.k.",
123,284,"口",Kanji,mouth,,,"ロ",,,,"katakana RO",,,,KOU,,kuchi,,"Mouth.m out the katakana.r ロ.r sound. Coat.o it with lipstick, and then shut your coochie.k.",
124,50,"回",Kanji,times,,,"囗","口",,,box,mouth,,,KAI,,mawa.ru,,"Many times.m, I put my box.r on his mouth.r. Kyle.o broke my.k wary.k heart.",
125,225,"品",Kanji,items,,,"口","口","口",,mouth,mouth,mouth,,HIN,,shina,,"The items.m can feed three mouths.r. Nothing hinders.o the shine.k of capitalism.",
126,130,"加",Kanji,add,,,"力","口",,,power,mouth,,,KA,,kuwa.waru,kuwa.eru,"Add.m power.r to your mouth.r. In Ca.onada, add volume to your quiet.k voice.",
127,,L,Radical,"letter L",,,L,,,,"capital L",,,,,,,,"The letter.m L.m radical looks like a capital L.r.","This radical never appears by itself, only as a part of other characters."
128,,"凵",Radical,"open box",,,L,|,,,"capital L",bar,,,,,,,"Open.m box.m is missing its top; formed with a letter.r L.r and a bar.r.","This radical never appears by itself, only as a part of other characters."
129,131,"山",Kanji,mountain,,,|,"凵",,,bar,"open box",,,SAN,,yama,,"The mountain.m top had a bar.r in an open.r box.r. A sane.o farmer grew yams.k on the mountain.",
130,13,"出",Kanji,exit,,,"山","山",,,mountain,mountain,,,SHUTSU,,da.su,de.ru,"He exists.m and climbs two.r mountains.r! There he shoots.o deer.k. Dat's.k his hobby.",
131,787,"岩",Kanji,boulder,,,"山","石",,,mountain,stone,,,GAN,,iwa,,"Boulders.m from mountains.r are perilous stones.r. I got gangrene.o. I.k was.k crushed by a boulder.",
132,56,"入",Kanji,enter,,,"人",,,,person,,,,NYUU,,ire.ru,hai.ru,"Enter.m into a flipped-over person.r! The new.o sensation will irritate.k their hairy.k parts as you enter!","This kanji looks like person 人.(hito) but flipped horizontally (mirror image)."
133,1404,"也",Kanji,classic,,,"⺃","セ",,,hook,"katakana SE",,,YA,,nari,,"The classical.m theatre hooked.r you in with a katakana.r セ.r. The crowed went Yay!.o at the classical narr.kation.","This word used to mean to be in Classical Japanese."
134,543,"他",Kanji,other,,,"⺅","也",,,"standing man",classic,,,TA,,hoka,,"The other.m man.r standing.r is classically.r trained. He taps.o other hookers.k as well!",
135,157,"心",Kanji,heart,,,"儿","丶 ","丶 ",,legs,bloody,bloody,,SHIN,,kokoro,,"Heart.m pumping bloody.r blood.r from my love hook.r. My shins.o step on hearts like cockroaches.k.",
136,265,"必",Kanji,certain,,,"心","丿",,,heart,slash,,,HITSU,,kanara.zu,,"Certainly.m, a slash.r through the heart.r hurts. It hits.o you.o like canary.k crashing thru a window.",
137,1812,"皿",Kanji,plate,,,"目","一",,,eye,one,,,,,sara,,"A plate.m is sort of like a sideways eye.r; a flat one.r. Sarah.k washes the dishes.",
138,832,"血",Kanji,blood,,,"丶 ","皿",,,bloody,plate,,,KETSU,,chi,,"There was blood.m on the bloody.r plate.r. Like ketchup.o, it's red and cheap.k to make.",
139,1313,"冊",Kanji,"counter for books​",,,"皿","冂",,,plate,staple,,,SATSU,,,,"Counting.m books.m is like stapling.r plates.r. It doesn't satisfy.o and could be disastrous.",
140,,"而",Radical,moustache,,,"一","丶 ","冂",|,one,bloody,staple,bar,,,,,"The moustache.m is one.r bloody.r cool stache shaped like a staple.r, not like a bar.r","This radical never appears by itself, only as a part of other characters."
141,128,"平",Kanji,flat,,,"干","丷",,,dry,horny,,,HEI,,hira.tai,taira,"The flat.m surface was dry.r and riddled with horns.r. I hate.o the dessert. Here.k, I tire.k out.",
142,,"㐄",Radical,stock,,,"匚",|,,,shelf,bar,,,,,,,"The stock.m goes into the right.r open.r box.r and placed on the bars.r.","This radical never appears by itself, only as a part of other characters."
143,6,"年",Kanji,year,,,"午","一",,,noon,one,,,NEN,,toshi,,"Every year.m the gun.r stock.r diminishes. Neanderthals.o tooshes.k are many years old.",
144,,"䒑",Radical,"sewer lid",,,"亠","丿",,,lid,slash,,,,,,,"The sewer.m lid.m is a lid.r that got slashed.r open.","This radical never appears by itself, only as a part of other characters."
145,58,"立",Kanji,"stand up",,,"亠","䒑",,,lid,"sewer lid",,,RITSU,,ta.tsu,ta.teru,"I stand.m up and place lids.r over sewer.r lids.r for a living. Ritsy.o people never taste.k manual labor.",
146,,"𠆢",Radical,roof,,,"𠆢",,,,"pitched roof",,,,,,,,"The roof.m radical actually looks like a pitched.r roof.r.","This radical never appears by itself, only as a part of other characters."
147,617,"介",Kanji,mediate,,,"𠆢","ﾉl",,,roof,"broken legs",,,KAI,,,,"We mediated.m under the court's roof.r to prevent broken.r legs.r. Kyle.o mediates.",
148,158,"界",Kanji,world,,,"田","介",,,field,mediate,,,KAI,,,,"The world.m is a field.r of opportunity mediated.r by chance. Kyle's.o kite.o flies over the world.",
149,1850,"瓦",Kanji,tile,,,"一","九","丶 ",,one,nine,bloody,,GA,,kawara,,"The tiles.m measured one.r by nine.r bloody.r inches. A gallery.o full of teeny cowar.kdly tiles!",
